Function,Optimizer,Run,Best_Fitness,DStar_Mean_Expl,DStar_Mean_Exploit,DStar_AUC_Expl,DStar_AUC_Exploit,DStar_Early_5,DStar_Early_10,DStar_Xover,DStar_Conv,Hussain_Mean_Expl,Hussain_Mean_Exploit,Hussain_AUC_Expl,Hussain_AUC_Exploit,Hussain_Early_5,Hussain_Early_10,Hussain_Xover,Hussain_Conv
F5,EES,8,15530.62315032982,5.365201294152494,94.6347987058475,5.340893189017709,94.60908179847604,32.70060242309735,24.788530031907694,8,207,5.522317173845378,94.47768282615462,5.497297224156676,94.45267776333706,33.65821494022545,25.514443467159687,10,224
F5,EES,9,20269.684176338273,5.837537436453183,94.16246256354681,5.815464472999011,94.13451051449472,29.342970140147006,23.97367221323256,13,358,6.6341459899225725,93.36585401007743,6.609060881076714,93.34091410641703,33.34720330392441,27.245194246457576,15,368
F5,EES,10,9348.759866096558,5.5185011097787475,94.48149889022125,5.499163197372076,94.45081179012168,39.23523781582674,30.552176871339377,18,305,7.145566175330277,92.85443382466973,7.120526707176548,92.8294482803172,50.80328564599152,39.56012643500282,31,363
F5,EES,11,5832.215232944094,5.6858917835257845,94.31410821647421,5.661191089710494,94.28878389778323,41.20634217972784,29.520903658382547,25,319,5.779993547263477,94.22000645273653,5.754884055858984,94.19509093163475,41.888308988791294,30.009475936425744,26,320
F5,EES,12,10113.80819355054,5.219891965914908,94.7801080340851,5.1964876456444395,94.75348734184931,39.53105064980827,27.738246455287587,22,221,5.582470075415425,94.41752992458457,5.557440071270038,94.39253491622372,42.276910852427335,29.664968507446922,25,229
F5,EES,13,5478.409337297826,3.8233218413211327,96.17667815867887,3.7982936856325686,96.15168130186117,27.352306903807076,21.19187671601154,9,248,3.826196312124057,96.17380368787595,3.801149339630169,96.14882564786357,27.372871065248543,21.207809309030782,9,249
F5,EES,14,13598.547676858027,5.4155088696331175,94.58449113036689,5.393407921147289,94.55656706634647,44.04801406753778,31.71721730849856,27,312,6.1314270791830525,93.86857292081696,6.106404434537136,93.8435705529566,49.871063410562556,35.91016278675881,34,320
F5,EES,15,16120.777473528211,5.636653845995385,94.3633461540046,5.613926993532189,94.33604799396156,37.16970361343506,28.310764264560294,21,254,6.21259865901885,93.78740134098116,6.187549610949865,93.76242537654387,40.967648029160856,31.203515580571644,22,261
F5,EES,16,38100.95651614246,5.120353539953874,94.87964646004615,5.09529658715215,94.8546784003416,25.54909124734642,18.837405335969457,11,189,5.141087764585954,94.85891223541404,5.115929346820154,94.83404564067358,25.652549063869145,18.91368502850902,11,189
F5,EES,17,9399.680772226586,5.681907286340001,94.31809271366001,5.658949299913815,94.29102568757993,43.63604318568751,30.223121616385324,27,286,6.191112759398332,93.80888724060166,6.16609730674655,93.7838776807472,47.54665117223116,32.93168023313183,33,289
F5,EES,18,52858.613814190525,5.611436737997193,94.38856326200282,5.589506134821606,94.36046885267214,32.53481292648365,22.12307978600327,14,137,6.402052981894606,93.59794701810539,6.377032494270768,93.57294249322298,37.11876402365351,25.240082981533448,20,200
F5,EES,19,8745.651970071332,4.45046182198479,95.54953817801521,4.42790632819803,95.52206865929571,32.5944035415051,24.091130071346317,12,252,4.935739812721651,95.06426018727835,4.910724869749,95.03925011774476,36.14849462071672,26.718024911304628,17,259
F5,EES,20,7121.727190420224,4.526378564627306,95.47362143537269,4.501960392186917,95.44801459530683,36.71802225572552,27.463032035466778,14,217,4.637421470457905,95.36257852954209,4.612404261771623,95.33757072572213,37.61880327291473,28.13676597897051,15,218
F5,EES,21,27216.055884306512,7.114729620836542,92.88527037916346,7.092536766421572,92.85743822107217,44.75218591630258,33.965500461214425,29,299,8.044923478630077,91.95507652136992,8.019829086424657,91.93014590106908,50.60317543813414,38.406217338687334,41,315
F5,EES,22,27266.939375579735,6.477586297117518,93.52241370288247,6.453466104715136,93.4965088827786,45.380481643226666,34.36184811576764,26,277,6.721211480669948,93.27878851933006,6.696184116053747,93.25379087144,47.087263716504246,35.65421400182767,27,280
F5,EES,23,19224.653967709823,6.345993743430247,93.65400625656976,6.321746668920262,93.62822831857349,43.12938015448692,30.862762437517173,26,263,6.574483439077928,93.42551656092206,6.549363340279058,93.40061164721469,44.682268377103576,31.9739868542597,28,264
